level,pos,id,type,char,name,freq,grade,strokes,parts,source
15,15,k:兄,kanji,兄,elder brother,786,2,5,口 儿,auto
15,16,k:党,kanji,党,party,250,6,10,⺌ 冖 兄,override
15,17,k:路,kanji,路,route,286,3,13,足 夂,override
15,18,k:斗,kanji,斗,Big Dipper,1607,8,4,,auto
15,19,k:科,kanji,科,department,340,2,9,斗 禾,auto
15,20,k:急,kanji,急,hurry,351,3,9,ヨ 勹 心,auto
15,21,k:改,kanji,改,reformation,320,4,7,已 攵,auto
15,22,k:九,kanji,九,nine,471,1,2,,auto
15,23,k:親,kanji,親,parent,319,2,16,見 木 辛,auto
15,24,k:害,kanji,害,harm,298,4,10,宀 口 土,override
15,25,k:由,kanji,由,wherefore,364,3,5,田 曲,auto
15,26,k:鉄,kanji,鉄,iron,301,3,13,金 矢,auto
15,27,k:夜,kanji,夜,night,392,2,8,亻 夕,auto
15,28,k:片,kanji,片,one-sided,875,6,4,,auto
15,29,k:版,kanji,版,printing block,303,5,8,反 片,auto
16,0,k:認,kanji,認,acknowledge,235,6,14,言 刀 心,override
16,1,k:百,kanji,百,hundred,598,1,6,一 白,auto
16,2,k:優,kanji,優,superior,212,6,17,亻 冖 自 百 心 夂,override
16,3,k:命,kanji,命,fate,344,3,8,合 卩,auto
16,4,k:宮,kanji,宮,palace,299,3,10,宀 史,override
16,5,k:岡,kanji,岡,knoll,275,4,8,,override
16,6,k:歌,kanji,歌,song,348,2,14,可 欠,override
16,7,k:総,kanji,総,overall,258,5,14,公 糸 心,override
16,8,k:疑,kanji,疑,doubt,239,6,14,矢 匕 マ 疋,override
16,9,k:説,kanji,説,opinion,309,4,14,言 兄,auto
16,10,k:協,kanji,協,co-,331,4,8,力 十,auto
16,11,r:艾,radical,艹,flowers,,,3,,radical
16,12,k:敬,kanji,敬,respect,1200,6,12,艹 句 攵,auto
16,13,k:警,kanji,警,admonish,206,6,19,敬 言,override
16,14,k:是,kanji,是,just so,1298,8,9,日 疋,auto
16,15,r:頁,radical,頁,page,,,9,,radical
16,16,k:題,kanji,題,topic,305,3,18,是 頁,auto
16,17,k:色,kanji,色,color,422,2,6,,auto
16,18,k:葉,kanji,葉,leaf,325,3,12,艹 世 木,auto
16,19,k:賞,kanji,賞,prize,261,5,15,⺌ 冖 員,override
